gene,yao1,yao2,yao5,R,maxI
ERG,0.22648500209239386,0.2506865126007765,0.332933042879892,1,0.332933042879892
LCA5L,-0.002789771566390308,0.010540850545663588,0.026237705668699648,1,0.026237705668699648
DSCAM,0.01899761823592959,0.04612698517642516,0.1912720959625507,1,0.1912720959625507
FAM3B,0.08839595045984865,0.164701433318752,0.3535531208344618,1,0.3535531208344618
MX1,-0.01736223413023828,0.024704963481616438,0.054105680567214626,1,0.054105680567214626
CSTB,-0.15603580664088282,0.02816272337776503,0.04759856236117376,1,0.04759856236117376
DNMT3L,-0.0020175719499863783,6.154347472136776e-4,0.004751693897288233,1,0.004751693897288233
AIRE,-0.0062134720742566315,0.012205076348894936,0.0426515936466462,1,0.0426515936466462
TSPEAR,-0.009401313139954905,0.028654209137339223,0.05791956223221072,1,0.05791956223221072
PCBP3,0.033596105749328885,0.09640356474658933,0.2202292347977495,1,0.2202292347977495
FTCD,0.1718380174237262,0.3125808568443709,0.38883080233785267,1,0.38883080233785267
GAB4,-0.005447404576860472,-0.005284479220984521,0.009733049936609254,1,0.009733049936609254
TMEM121B,0.023893699022099753,0.11444957774980899,0.1762487157633865,1,0.1762487157633865
SLC25A18,0.05187433634493627,0.3470788852869426,0.5293774904670381,1,0.5293774904670381
USP18,0.04204257770846024,0.1258044166024841,0.13039839790186794,1,0.13039839790186794
TSSK2,-0.003866119009876943,-0.0024716317382196813,0.011122764967500245,1,0.011122764967500245
CLDN5,0.1627916136079017,0.29923183326361963,0.34576438401053516,1,0.34576438401053516
GP1BB,0.06629777444803267,0.15248615030399418,0.15324612508062826,1,0.15324612508062826
CCDC188,0.05202427947160339,0.11765470551015704,0.15877614116787536,1,0.15877614116787536
SERPIND1,0.1420430858139534,0.38519822524019715,0.6827598669408591,1,0.6827598669408591
CCDC116,-4.543798800444761e-4,0.009641027965195505,0.010644328269364078,1,0.010644328269364078
DRICH1,0.008108905057815764,0.011164133728362207,0.029227067152720415,1,0.029227067152720415
CHCHD10,0.09425216767962086,0.17181110134475208,0.18438020779864037,1,0.18438020779864037
SUSD2,0.055501375822915436,0.1158792353659913,0.1902077293801686,1,0.1902077293801686
UPB1,0.028755592989355188,0.03088510295478859,0.04244825530909197,1,0.04244825530909197
SNRPD3,-7.652361110725365e-4,0.0058476728354513365,0.006971576808390597,1,0.006971576808390597
